,Status,Sentence
581,surprise,"মানুষ কখনোই ইচ্ছে করে বদলায় না। কিছু মানুষের অবহেলা, কিছু স্মৃতি, আর পরিস্থিতি তাকে বদলাতে বাধ্য করে।.................."
582,surprise,"নাউজুবিল্লা। ভাই বেশি আবেগ দেখিয়েনা। আপনি কি বলছেন,একটু ভেবে বলবেন।"
583,disgust,সব কিচু ঠিক আছে বাট আসরাফুল মাকলুল্কাত এর অর্থ হয়তো উনি জানেন না।@ আলম।
584,happy,অসাধারণ এক বন্ধুত্ব এর তুলনা হয় না
585,surprise,পশুদের মানবতা আছে মানুষের নাই
586,happy,অসাধারণ এই বন্ধুত্ব এর তুলনা হয় না ।
587,happy,এটা ভাল বাসা টানে কাছে আনা
588,surprise,মানবতা কাকে বলে মানুষ এ পাকিঁ থেকে শিক্মা নেওয়া দরকার
589,angry,মাদার চোদ এই মিডিয়া সৌইদির বরো ধরনের লোক আসলো সেটা দেখালোনা আর কী দেখায় এ
590,sad,এমন ভালবাসা দেখে চোখের জ্বল ধরে রাখা কষ্টকর।
591,sad,পশুদের মানবতা আছে মানুষের নাই অসাধারণ এই বন্ধুত্ব এর তুলনা হয় না ।
592,happy,আশা করি ঘটনা টা সত্য।
593,happy,"আল্লাহতালা অশিষ্ট মেহের ভান,এবং তিনি আল্লাহ যা চান তাই করেন।"
594,surprise,"বাহ্ কি অসাধরন বন্ধুত্ব, সত্তি দেখে অবাক হলাম!"
595,happy,একেই বলে প্রকরীত ভালবাসা।
596,surprise,এই প্রানির কাছ তেকে আমাদের অনেক কিছু শেখার আছে।
597,sad,মানুষ তা বুঝবে কি করে
598,happy,ভিডিওটি দেখে অনেক ভাল লাগল ।
599,sad,মানুষ হয়ে ও এ ভালবাসা পেলামনা
600,happy,অসাদারন অনেক ভাল লাগলো
601,happy,"দোস্ত, এইটা একটা সিরিয়াস উদাহরণ."
602,happy,"!অ.: সাধারণ, এ কেই বলে বন্ধু,"
603,sad,মানুষ কে আল্লাহ শিক্ষা দিতেছেন। তার পরেও আমরা ফিছিয়ে।
604,happy,মানুশ জাতের থেকে ভাল
605,happy,অসাধারণ এক বন্ধুত্ব এর তুলনা হয় না
606,happy,বন্ধুরা শুধু কত কিলোমিটার তা নিয়ে বেস্ট
607,happy,পেংগুইন এইটা প্রভুচিনছে তাঈ ছুটেএশেছে।
608,happy,আমরা সবাই নিঃসারত বন্দ্বুত্ব করব ইনশাআল্লাহ্
609,sad,ইউরোপ আমিরিকায় যেভাবে পশুপাখীকে ভালবাসে তার সামান্যটুকু ভালবাসাও পায়না আমদের দেশের মানুষ।
610,surprise,"সৃষ্টি কর্তার লিলা খেলা ,বুঝা বিষমদায় ৷ সর্বস্হানে বিরাজমান , বুঝে উটাদায় ৷"
611,happy,ভাই এই প্রানির ভালোবাসা সঠিক
612,sad,অসাধারন.এও ভালবাসার মানি বোজে.মানুষরা বোজেনা.
613,surprise,সত্যিই অসাধারণ
614,disgust,Tbn রিপোর্ট বলছে 5000 হাজার কিলোমিটার আপনারা বললেন আট হাজার কিলোমিটার ।
615,happy,"এরই নাম ""ভালবাসা"""
616,sad,না দেখলে মিছ করবেন
617,surprise,৩ দিন আগে ১ জনে দিল ৫০০০ আজ ৭১ দিল ৮০০০ বুজলাম. আর ব্রাজিলের ঘটনা জানলেন কি ভাব??
618,disgust,শুধু মানুষ বুঝলনা
619,surprise,অসাধারণ বন্ধু
620,happy,হা ভাই তাইতো বলছি
621,happy,"আল্লাহুআকবার,অসাধারণ ঘটনা।"
622,sad,আমরাই পারলাম না।
623,happy,খুব ভালো লাগলো
624,happy,সততি কারের এক জন বনদু ছাই আছেন কেউ
625,sad,তুই বঝলিনা
626,surprise,অসাধারন বন্ধুত্ব....❤❤❤
627,surprise,সত্যি অসাধারণ..
628,happy,একেই বলে ভালোবাসা
629,surprise,অসাধারণ অসাধারণ
630,surprise,অসাধারণ
631,sad,বর্তমান ডিজিটিল জামানার মানুষকে ও হার মানিয়েছে
632,sad,এটা যদি সত্য ঘটনা হয় তা হলে আমাদের লজিজতো হওয়া উচিত
633,happy,একে বলে ভালোবাসা
634,happy,দারুন
635,happy,এরি নাম বন্ধুত্ব ।
636,surprise,অসাধারন
637,happy,গতকাল রেডিও পদ্মা দেখলাম ৫ হাজার কিলোমিটার। ৮হাজার কিলোমিটার। বহ্ দারুন খবর।
638,happy,এই পাখি টা সব ভালবাসা কে হার মানাল বিশ্ব রেকট করল
639,sad,আট হাজার মখের কতা গনে দেখ
640,fear,ভগ্যিস ও মানুষ হয়ে জন্মায়নি......
641,happy,ভালো লাগলো ভিডিও টা
642,sad,খবরে দেখলাম সাড়ে পাঁচ আপনারা লিখলেন ৮হাজার
643,happy,ভালো
644,surprise,অসাধারণ
645,sad,"ভালোবাসার কোনো রং নেই,,,,"
646,sad,শিশুরা আগামি জাতির মেরুদন্ড। কিন্তু বইয়ের ভারে ছোটবেলাতেই তাদের মেরুদন্ড ভেঙ্গে দেওয়া হচ্ছে। মেরুদন্ডহীন এই শিশুরা কিভাবে জাতির ভবিষ্যতের হাল ধরবে?
647,sad,আমাদের তো বই বিক্রি করতে হবে না হলে আমলাদের পকেট কি ভাবে পুরবে বাচ্চা মরে যাক আমাদের কি আসে যায়
648,happy,RadioFaysal. com . . স্বামী: ওগো একটু কাছে আসো | স্ত্রী: কেন? স্বামী: কতদিন তোমায় আদর করি না | স্ত্রী: ঢং কত?...Continue reading
649,happy,FREE FREE FREE FREE FREE১০০% free job ১০০% লিগেল কম্পানি কোন ফি লাগবেনা। পার্টাইম জব । সুধু android ফোন থাকলেই হবে। কোন টারগেট নাই। সোকাল বিকাল জখন টাইম পাবে কাজ করো আর ইনকাম কর পেমেন্ট সাতে সাতে bank ac তে পাবে ১০০০০-৫০০০০+/ একদম সহজ কাজ ইন্টারনেটে এড পোষ্ট whatsapp 9674995657
650,sad,বাংলাদেশের শিক্খা ব্যাবস্থা ভালো না.। আমরা যারা প্রবাসে পড়তে আসি. তারা বাংলাদেশের পড়ার মান বুঝি।
651,surprise,আমাদের দেশ বাংলাদেশ কিন্রু আমরা বাংলা থিক মত বুজি না তাহলে আম রা কিসের বাংগালি?
652,surprise,ধর্ম একটা রাজনৈতিক ব্যবসা। ক্ষমতায় টিকে থাকার জন্য সবাই ধর্মকে ব্যবহার করে।
653,surprise,"বই বেশি দেয় কমিশনের জন্য ও ভাল মানের স্কুল বুঝানর জন্য, আর ব্যাচে পড়ানর জন্য।"
654,happy,ঠিক
655,sad,"বাংলাদেশ সরকারের কাছে অনুরোধ করছি, অসহায় সিরিয়দের সাহায্যের জন্য হাত প্রসারিত করে।"
656,surprise,"<3 <3 ""সারাজীবন যদি একজনকেই ভালোবাসতে চাও , তার সাথে সারাটা জীবন কাটাতে চাও , তাহলে অবশ্যই তোমাকে ধৈর্যশীল হতে হবে ॥"" <3 <3"
657,fear,"আল্লাহ তাদের সাহায্য করুন, আর জালিমদের ধ্বংস করুন, আমিন"
658,sad,পৃথিবীতে এখন সবচেয়ে বর i s জংগি হল মিডিয়া।মিডিয়া জংগি বানায়।
659,happy,আল্লাহতালা সিরিয়ার মুসলমাদের এই জালিমদের হাত থেকে মুকতি দিন ।।। আমিন
660,angry,৭১ টিভি মিথ্যুক
661,happy,আইএস জঙ্গী নিপাত যাক
662,surprise,এই অস্ত্রের যোগান কে দিচ্ছে?
663,sad,চোখের পানি ধরে রাখা যায় না
664,angry,মাদারি
665,angry,ভাতদে হারামজাদা নইলে মানচিত্র খাব
666,angry,"এই ছবিটি দেখুন, তাইলেই তো প্রমাণ হয়ে যাবে যে । আইসিসির( রেন্ডিয়ার দালাল ) কি আসলেই ?"
667,fear,"ICC (Indian Cricket Council) এর একটা বড় ধরনের ভয় হচ্ছে হয়তো টুর্নামেন্ট নিয়ে ৷ That's why,তারা বাংলাদেশের সুপার ক্রিকেটারদের মিথ্যা দোষ দিয়ে কিছুটা তোলপাড় করার চেষ্টা করছে ৷"
668,disgust,"ইন্দিয়া আমাদের বন্ধু তাই কিছু বলা যাবেনা অরা যদি আমাদের কে বাশ দেয় তাও চুপ থেকে খেয়েনিতে হবে, সত্যি কস্ট হয় এ সব দেখলে,"
669,happy,"এমন ভালোবাসা চাই, যে ভালোবাসা 'স্পর্শকাতর' কিন্তু 'স্পর্শের জন্য কাতর' নয় !!তাই আমার একজন ভালো বন্ধুর বিশেষ প্রয়োজন।"
670,fear,"যে আম্পায়ার রা তাসকিনের আরাপাত সানির বলিং নিয়ে সংশয় জানিয়েছে, অবস্যই সে আম্পায়ারদের আম্পায়ারিং সঠিক কিনা তযন্ত করা উচিত,হয়তো তারা কারো কাছ থেকে ঘোষ খেয়ে এই কাজ করেছে কিনা সেইটা ও চেক করা উচিত,"
671,angry,একেবারে সত্য কথা । ভারত vs বাংলাদেশের কথা কি আবার ও বুঝাতে হবে বন্ধুরা । ।
672,angry,"আইসিসির পেইজে কি বোলিং অ্যাকশনের ছবিগুলো আপলোড করে দেওয়া যায়না? যেখানে, তাসকিন, নেহারা, ভূমরা, লি, অন্যান্য কয়েকজনের বোলিং এর ষ্টীল ছবি থাকবে।"
673,angry,"icc তো বাটপার। তাদের দোষটা তারে দেখেনা।icc মানি india, Australia,এর বেশি অার কিছু না। icc নিয়ে বিশ্বা ক্তিকেট জরিপ করিবেন না। শুধু india, Austalia জরিপ করিবেন।"
674,happy,সাবাস তাসকিন! সত্যিকারের ভীতিটা তৈরি করতে পেরেছো বলে! ওরা এতোটাই ভয় পেয়েছে যে যেকোনো মূল্যে তোমাকে মাঠের বাইরে রাখতে চায়। আইসিসি'র বাংলাদেশের প্রতি বৈষম্যমূলক আচরণের তীব্র নিন্দা জানাচ্ছি।
675,happy,RadioFaysal. com . . স্বামী: ওগো একটু কাছে আসো | স্ত্রী: কেন? স্বামী: কতদিন তোমায় আদর করি না | স্ত্রী: ঢং কত?...Continue reading
676,sad,ফেসবুকের মন্তব্য নিয়ে টি-ভি reporting করা ঠিক না। নিজস্ব যুক্তি ও তথ্য দিয়ে রিপোর্ট উপস্থাপন করুন।
677,angry,যুদি বাংলাদেশের কোন বোলার ভালো করে তাহলে সুধু ইন্ডিয়ার চোখে পড়ে কেনো আরো তো দেশ আছে তাদের চোখে তো পড়ে না ।
678,angry,ভাই পনারা এখনো বেপারটা ভুজেন নাই বাংলা দেশের বাসটা চোটোতো তাই পাকিসতানের মোতো আমাদের বাসটা হলে কিচুই করবার পারতোনা এখন বাস জেহেতু চোটো সেহেতো জাই ভারততের মন চাই তাই করবে কারন সালারা icc এর দালাল
679,happy,RadioFaysal. com . . স্বামী: ওগো একটু কাছে আসো | স্ত্রী: কেন? স্বামী: কতদিন তোমায় আদর করি না | স্ত্রী: ঢং কত?...Continue reading
680,happy,RadioFaysal. com . . স্বামী: ওগো একটু কাছে আসো | স্ত্রী: কেন? স্বামী: কতদিন তোমায় আদর করি না | স্ত্রী: ঢং কত?...Continue reading
681,happy,তামিম যে ভাবে বেটিন করে। তাতে কবে আই সিসি বলে বসে যে বেটিন টান্ডব চালানো যাবেনা।
682,happy,৭১tvকে ধন্যবাদ জানাই......
683,angry,যারা ইন্ডিয়ার সাপুর্ট কর তাদেরকে ভলি দেখো ইন্ডিয়া কতটোক হারামি?
684,angry,ভালো করে খেলাটা এখনও বুঝতে পারেনি বাংলাদেশের মানুষ তাই এরা এরকম উক্তি করে
685,happy,Go Tiger's Go : গো টাইগার্স গো...........//
686,angry,ভারতের গুষ্টি মারি
687,surprise,আমরা ভাল খেললে ইনডিয়া তংখা হয়
688,happy,ঠিক
689,angry,আইছিছি তো ভারত তে দালাল?
690,angry,ওরা তো ভারতের দালাল আই সি সি এসব ভারতের চাল
691,angry,আমাদের বাংলাদেশ cricket টিম নিয়ে ভারতের আনেক কথা বলে সালা ভারত
692,angry,BANGLADESH ভালো খেলছে ওদের তো সহ্য হচ্ছে না।
693,surprise,আম্পায়ার দের ঘুষ দেয়ার কারনে ওরা এই অভিযোগ দিয়েছে।
694,disgust,আর কয়দিন পর বলবে তামিম এর মাইর হবে না
695,surprise,আমি অভাক
696,angry,"icc তো বাটপার। তাদের দোষটা তারে দেখেনা।icc মানি india, Australia,এর বেশি অার কিছু না। icc নিয়ে বিশ্বা ক্তিকেট জরিপ করিবেন না। শুধু india, Austalia জরিপ করিবেন।"
697,surprise,বাংলাদেশ ভালে খেলছে তো তাই
698,angry,indiaমেদার চুদ +icc
699,surprise,INDIA বাংলাদেশ কে ভয় তুই INDIA সর জনত করছে Taskin & A sanny
700,sad,indian দের এখন মাথাখারাপ
701,fear,"কেউ তোমার সাথে থাকুক বা না থাকুক,, মহান আল্লাহ যদি তোমার সাথে থাকেন তাহলে তোমার আর কোন কিছু লাগবে না।সব সময় সবকিছুতেই আল্লাহর উপর বিশ্বাস রাখবা।আল্লাহর রাস্তায় জীবন টা পার করার চেষ্টা করুন।নামায পড়বেন সবসময়ই।কোরআন টাও নিয়মিত পাঠ করবেন।আল্লাহ আপনাকে এত কিছু দিচ্ছে,,সেই আল্লাহর ইবাদত না করে কার ইবাদাত করবেন??"
702,happy,RadioFaysal. com . . স্বামী: ওগো একটু কাছে আসো | স্ত্রী: কেন? স্বামী: কতদিন তোমায় আদর করি না | স্ত্রী: ঢং কত?...Continue reading
703,sad,গভীর শো ক প্রকাশ করছি ও পরিবারের প্রতি রইলো সমবেদনা
704,sad,আমি একাত্তর টিভির চেয়ারম্যান ফজলুল হক খানের মৃত্যুতে গভীর শো ক জানাচ্ছি
705,happy,"RadioFaysal. com . . . # ""স্বামী স্ত্রী গরম জোকস!!! না পড়লে চরম মিস"" বউঃ ওগো তোমার লুঙ্গিটা একটু খুলো.. , স্বামীঃ ( হাসি দিয়ে) কেন কি করবা.....?? বউঃ না মানে.....Continue reading"
706,fear,আসন্ন ইউনিয়ন পরিষদ নির্বাচন উপলক্ষ্যে বাগেরহাট জেলার মোরেলগঞ্জ উপজেলার বিভিন্ন ইউনিয়নে লোক দেখানো প্রচার-প্রচারণা চললে ও বিগত সময়ের নির্বাচন গুলোর মতো ভোট ডাকাতির সবটুকু প্রস্তুতি শেষ করেছে সরকার দলীয় চেয়ারম্যান প্রার্থীরা ।বিরোধী কোন প্রার্থী কে তারা মাঠে থাকে দেন নাই। পাশাপাশি নিজেদের সুবিধামত “পকেট কমিটি নীতি” অনুসরণ করে সরকার দলীয় চেয়ারম্যান প্রার্থীদের ভাষায় সাধারণ এবং সংরক্ষিত মেম্বর প্রার্থীদের ও “টাইন্যা নেয়া হবে” বলে ও জোর প্রচারণা চলছে সংশ্লিষ্ট ইউনিয়ন গুলোয় । এ বিষয়ে বিভিন্ন গণমাধ্যমের সংবাদ কর্মীদের সদয় দৃষ্টি কামনা করেছে সংশ্লিষ্ট ইউনিয়ন গুলোর সাধারন ভোটাররা।এই কথার সত্যতা জাচাই করে নিয়েন ২২তারিখ এর নির্বাচনের পর। হায়রে গনতন্ত্র তোমাকে আমরা ফিরে পাব কবে?
707,angry,সিখকের পেনশন না দিয়া
708,sad,মাথায় কাপড় টা সংবাদ পরিবেশন করলে আর ভাল দেখা যেত।
709,surprise,পুলিশের খমতা যে কত..........................................................................................।
710,angry,আন্তর্জাতিক বেহায়া দিবস
711,happy,"আমাদের বলাদের কে,,,,,, মনু যোগ দিয়ে,দেখা দরকার যে, কে কিরকম বেটিং করে থাকে,,,,তার উইক যোন কোনটা,,তা ভালো করে ভিডিও দেখতে হবে,,,আর স্টং যোন কোনটা তাও লক্ষ করতে হবে,,,আমার কতে দরকার"
712,happy,আমি আপনার সাথে একমত পোষণ করছি।
713,happy,আমি আপনার সাথে একমত পোষণ কর
714,sad,"না। দেশের ১ কোটি জনগন এখনো NID পাই নাই, আমারো একি prob."
715,sad,"আমি এখনো NID পাইনি .... তবে কী আমরা SIM ব্যবহার করতে পারবনা,,,"
716,surprise,কি দরকার nidir দেশেতো ভোট হয় না
717,surprise,আমরা যারা ছাএ আছি আমাদের ত NID CARD নাই তাহলে আমরা কি সিম ব্যবহার করতে পারব না
718,sad,আমরা চাই সকল মোবাইলফোন ব্যবহারকারী সিম পুনঃনিবন্ধন করুক।কিন্তু তার জন্য উত্তম কোন পদ্ধতি চালু করা হোক।
719,angry,আপনার আঙ্গুলের ছাপ ব্যাবহার করে নির্দোষ আপনাকে যেদিন বোমাবাজ বানানো হবে সে দিন বুজবেন সিম রেজিঃমজা কি? এটা সেই দেশ ঘুষ না পেলে পুলিশ যাবজ্জীবন জেল ও খাটাতে পারে
720,surprise,"Sim registration must be দরকার,তবে ফালতু নিয়ম বন্ধ করা হোক।পৃথিবীতে only Pakistan e আছে,তার অবস্তা কি আমরা প্রতিদিন দেকছি।"
721,disgust,আমি এখন ও করি নাই যা হবার হবে।
722,surprise,"করবার দরকার নাই।নিবন্ধন না করা সিম বন্ধ করলে কার ক্ষতি! আমার,না,কোম্পানির?১০০ লাখ টা বন্ধ করলে শতকরা অন্তত ২৫% আয় কমবে যার মুল্য অন্তত ১০০০০০০০০০০ হবে।পারলে অফ করে দিক"
723,happy,আমি আপনার সাথে একমত পোষণ করছি
724,angry,আমি নিবন্ধন করব না।সরকার কি আমার জীবনের ভার নিবে?কেন একটা উড়ে এসে জুড়ে বসা কোম্পানির হাতে আমার পরিচয় তুলে দেব?যা আমার জন্য এক সময় ক্ষতিকর হতে পারে!
725,sad,"সরকার nid card এর জন্য যে ফিঙ্গারপ্রিন্ট নিছে সে গুলো সংরক্ষণ করতে পারছেনা,সে জন্য এদের দ্বারা কাজ সেরে নিচ্ছে। বি:দ্র:সরকারি চাকুরীতে মেধার চেয়ে টাকার অগ্রাধিকার বেশি,আর সে সব কর্মচারীরা কচ্ছপ গতির হওয়াটায় স্বাভাবিক। nid card এর জন্য দুবছর ধরে অপেক্ষা করতেছি।"
726,sad,চোর দরলে লাভ কার? ট্যাক্স পাকি দেওয়ার জন্য অপারেটরেরা ঠিকমতো নিবন্ধন করেনা। না হয় সবকিছু দেওয়ার পরবো কেন অাবার এই সব।
727,disgust,সব কিছু দেওয়ার পর আবার সব দেওয়ার অর্থ
728,disgust,সব কিছু দেওয়ার পর আবার সব দেওয়ার অর্থ অপারেটরেরা ঠিক মত নিবন্ধন করে নাই
729,surprise,"সরকারি সংস্থার উপরই যেখানে পুরোপুরি আস্থা নেই মানুষের, সেখানে বেসরকারি প্রতিষ্ঠানকে কেন আমার আঙুলের ছাপ দিতে হবে বুঝতে পারছিনা!! আমি আমার সিম কেনার সময় ছবি, ভোটার আইডির নম্বর ও ফটোকপি, ছবি সহ যা যা তথ্য প্রয়োজন ছিল সকল নিয়মকানুন মেনেই কিনেছিলাম, তবু প্রতিবার কল করলেই অপারেটর থেকে জানানো হচ্ছে সিম পুণঃনিবন্ধন করার কথা!! কেন???"
730,surprise,"আমি একমাত্র সরকারি কোন কাজে আঙ্গুলের চাপ দিতে রাজি আছি, শিক্ষিত ব্যক্তি আঙ্গুলের চাপ দেয় না।আমি স্বাক্ষর করতে জানি, বায়োমেট্রিক পদ্ধতি দিয়ে দেশের মানুষদের বিপদের দিকে এগিয়ে নিয়ে যাচ্ছে।"
731,sad,সরকারকে সব তথ্য দিতে রাজি ।কিন্তু বিদেশী কম্পানিকে নয় ।ইতিহাসে দেখা যায় বিনদেশীরা সব সময়ই বিশ্বাসঘাতকতা করেছে দুর্বলতার সুযোগ নিয়ে ।
732,angry,আমি আমার নিরাপত্তা কেনো ভিনদেশী কাছে বিকিয়ে দেব? আমি বাংলাদেশের স্বাধীনতায় শ্রদ্ধাশীল। ফিঙ্গারপ্রিন্ট নিতে হলে সরকারী ভাবে সংগ্রহকরা হোক।
733,angry,"এটা তো স্বাভাবিক ,সিংহ ভাগ সিম আছে যাদের কাছে তারা সবাই শিক্ষাথী, NIC কাড তারা পাবে কোথায়? রাষ্টের টাকা বেশি হয়েছে তো তাই একটু সিম নিবন্ধন এর দিকে ঝুকে পড়েছে"
734,happy,"হা হা হা হা,,,,, দেশ ডিজিটাল হইতাছে এই তার প্রমাণ। তবে আমার মনে হয় কি,সবার আগে প্রধানমন্ত্রি এবং বিভিন্ন এম্পি, মন্ত্রিদের সিম গুলা নিবন্ধন করা হইছে কিনা তা দেখা উচিত। আবার কোন সময় দেশের আকাম কুকাম গড়াই বাইগা পড়ে।"
735,happy,"আমার মতে জাতীয় পরিচয় পত্রের ফটোকপি এবং ছবি দিয়েই সিম নিবন্ধন করা হউক, তাহলে সবাই সিম নিবন্ধন করবে"
736,sad,"তারানা হালিমের মাথায় এইগুলা আসবেনা,, কিন্ত আমরা সচেতন সমাজ কেন এটা মেনে নিবো?? নিজের প্রাইরেসি অন্যর হাতে দেবোনা,,"
737,happy,আমার মনে হয় এই পদ্ধতিতে সিম নিবন্ধন করলে মোবাইল সন্ত্রাস অনেকাংশ কমে যাবে।
738,fear,"সব তথ্যই দিতে রাজি,তবে নিরাপত্তার বিষয়টি কে দেখবে? ভবিষ্যতে কোন সমস্যা হবেনা তার নিশ্চয়তা দেবে কে?"
739,sad,আমি NID CARD এর ছবি তুলে এসেছি কিন্তু এখনো CARD দেয়নি। এখোন তাহলে আমার সিম বন্ধ করে দিবেন।
740,angry,আঙ্গুলের ছাপ তৃতীয ব্যাক্তির কাছে যাওযা মানে মরন ।তাও আবার কষ্টে ।সরকার আর কাজ পাযনা নাকি ।প্রতিদিন দেশে বস্তাতে শিশুর লাশ পাওযা যাচ্ছে তা কারো নজর নেই ।বিচার হচ্ছে দুবলের উপর তাও আবার গনতন্তের নামে ।
741,angry,ন্যাশনাল আইডি করার সময় আঙ্গুলের ছাপ নেয়া হয়েছিল। তা কি অকাজের? এগুলো ত সরকারের কাছে আছে।
742,sad,আমি বলতে চাই সরকার স্মার্ট কাডের করুক। এবং স্মার্ট কাড দিয়ে সিম নিবন্ধন করুক কম্পানরা
743,surprise,"আমার মনে হয় যে,সরকার যখন যানে 16 কোটি মানুঘের 13কোটি সিম সেই হিসাব করে বেসকারি কম্পানির কাছ থেকে VAT আদায় করলেতো হয়।"
744,fear,"আংগুলের ছাপ সিম রেজিস্টার করানোর জন্যে দেবেন তাতে আপনাদের এতো ভয় কিসের? আপনারা কি অবৈধ কোনো কাজে জড়িত? আমাদের মত জনতার কোনো ভয় নাই। আপনারা ভী আই পি আপনাদের যতো চিন্তা,? আমার মোনেহয় এটা সময় উপযুগী সিদ্ধান্ত। যেভাবে সাইবার ক্রাইম জংগী ততপরতা বাড়ছে তাতে এটা করা খুবই জরুরী। ধন্যবাদ সংস্লিসটো সবাইকে।"
745,fear,"আমরা আমাদের ভবিষত্‍,ভিনদেশীদের হাতে ওঠায়ে দিতে চাইনা!আমাদের অভিভাবকরা বিষয়টা একটু ভেবে দেখুন?আমরা বিনা অপরাধে পাকিস্তানিদের পথ জঙ্গি হতে চাইনা।আমাদের বাঁচান প্লিজ!!!?"
746,surprise,আপনারা তো লোক ভালা না ! সিম রেজিস্টেশন করতে বলতাছেন । কত মানুষ একাধিক প্রেম করতো তাতে বাশ এখন।। মানুষ গুলারে শুখে থাকতে দিলেন না । সিম রেজিস্টেশন সবচেয়ে বেশি ক্ষতি করলো দুই নম্বর প্রেমের । অবিবাহিত দের জন্য ভালো হলেও বিবাহিত রা............
747,angry,গাধা
748,happy,"অাঙুলের ছাপ না নিলে কি অসংখ্য সিম রেজিস্ট্রেশন করা যায় না? যখন ছাপ সিস্টেম ছিলনা তখন কি অাই ডি নম্বর দিয়ে ভূয়াভাবে সিম রেজিস্ট্রেশন করে নি? অাসল বিষয় হলো অাই ডি নম্বর অার অাঙুলের ছাপ নির্বাচন কমিশনে সংরক্ষিত অাছে।রেজিস্ট্রেশনের সময় অাই ডি নম্বর দিয়ে ক্লিক করলে অাই ডি ধারীর সব তথ্য রেজিস্ট্রেশনকারীর মনিটরে দেখতে পায়।অাঙুলের ছাপ নেবার পর কম্পিউটার সিগনাল দেয় অাইডি কার্ডের ছাপের সাথে রেজিস্ট্রেশনপ্রাপ্ত ব্যক্তির অাঙুলের ছাপ মিলে গিয়েছে।তখন কাজ সমাপ্ত হয়।এছাড়া কিছু নয়।তারপরও কিছু সমস্যা থাকবে।কেউ কেউ সমস্যায় পড়তে পারে।সেদিকে সতর্ক থাকতে হবে।কিন্তু সন্ত্রাসী, চাঁদাবাজদের প্রতিহত করতে আর কি ই বা করা যেত?"
749,surprise,সরকারের সন্ত্রাসী দিয়ে সন্ত্রাসী দমন করবে।হা হা হা
750,angry,"কান চিলে নিল।প্রতি নিয়ত সব তথ্য দিয়ে দিচ্ছি তাতে সমস্যা নেই।সিম ক্রয়ের সময় দিচ্ছি তাতেও সমস্যা নেই,শুধু অাঙুলের ছাপ দিলে সমস্যা! হায়রে বাঙ্গালি!"
751,surprise,আমার ফোন টা হারিয়ে যাবার কয়েক মিনিটের মধ্যে যদি কোন দুষ্কৃতিকারি কাউকে থেট বা হুমকি দেয় তাহলে এর দায়ভার কার ?
752,sad,আমরা যারা ছাএ আছি আমাদের ত NID CARD নাই তাহলে আমরা কি সিম ব্যবহার করতে পারব না
753,sad,"আমি এখনো ভোটার হইনি,অথচো ২০০৭ সাল থেকে ফোন ব্যবহার করি।তাহলে আমি কি আমার বাবার IDদিয়ে নিবন্ধ কররো।সিম দিয়ে বাজে কাজ করবো আমি দায়ি থাকবে আমার বাবা এটা হল।এটা কোন আইন??আমার সিমে আমি কারো সাহার্য নিব না,আমার কাজ আমি করবো।নিবন্ধন করার জন্য আরো ২ বছর সময় দেওয়া কহ।।"
754,happy,আমরা চাই সকল মোবাইলফোন ব্যবহারকারী সিম পুনঃনিবন্ধন করুক।কিন্তু তার জন্য উত্তম কোন পদ্ধতি চালু করা হোক। Like · 24 · Reply · R
755,sad,বায়োমেট্রিক পদ্ধতি ছাড়া অন্য কোন পদ্ধতিতে সিম নিবন্ধন করলে জনগন উৎসবের সাথে নিবন্ধন করত।এই আঙুলের ছাপ পদ্ধতিতে নিবন্ধন করাই গ্রামের সাধারন মানুষ বিভিন্ন শংকায় আছে।
756,happy,"আমার মতে জাতীয় পরিচয় পত্রের ফটোকপি এবং ছবি দিয়েই সিম নিবন্ধন করা হউক, তাহলে সবাই সিম নিবন্ধন করবে"
757,sad,সেই কখন NID কার্ড এর জন্য সবকিছু দিয়ে আসলাম এখনো দেয় নি। আমি আমার বাবার NID দিয়ে সিম কিনেছি। মানুষ মাত্রই ভুল করে আর আল্লাহ না করুন আমি যদি কোন ভুল করে ফেলি আমি নিশ্চয়ই চাই না এর জন্য আমার বাবার দায়ভার পরুক। অনেক মানুষ আছে যাদের সিম ব্যাবহার আবশ্যক কিন্তু NID হয় নি তারা যদি অন্য কারো NID দিয়ে সিম কিনে অপরাধ করে তাহলে দায়ভার নিরীহ মানুষ দের উপরে পড়বে। এই কাজ টা সত্যিকার অপরাধীরা ও করতে পারে। তার উপর বিদেশী কোম্পানি কে তথ্য দেয়ার বিষয়টি ও যথেষ্ট প্রশ্নবিদ্ধ।
758,sad,"সিম নিবন্ধ‌নে অ‌নেক দুর‌নী‌তি হ‌চ্ছে ,গ্রাম থে‌কে যারা আ‌সে নিবন্ধ‌নেন জন্য তা‌দের আই‌ডি ছবিওআঙ্গও‌লের ছাপ ডাবল ক‌রে এই দুর‌নি‌তি কর‌ছে /‌অ‌নেক দোকা‌নে নিবন্ধ‌ সিম পাওয়া যায়ইতে পা‌রে ;য‌দি এমন হয় তাহ‌লে অ‌নেক সরল মা‌নুষ ঠক‌বে"
759,sad,পাকিস্তান সর্বদাই বাংলাদেশের শত্রু..এবং সন্ত্রাসের আতুর ঘর তাহলে কেন তাদের তৈরি এই সফটওয়ার ব্যবহার করছে বাংলাদেশ..?এটা কতটুকুই নিরাপদ.?
